dlls/ntdll/tests/exception.ok        VALGRIND       28735       
dlls/shell32/tests/brsfolder.ok      FLAKY          28737       
dlls/shell32/tests/shellpath.ok      FLAKY          28769       
dlls/advapi32/tests/cred.ok          MAC            28792       
dlls/d3d8/tests/device.ok            VALGRIND       28800       
dlls/d3d9/tests/device.ok            VALGRIND       28800       
dlls/d3d9/tests/visual.ok            VALGRIND       28801       
dlls/d3dx9_36/tests/mesh.ok          VALGRIND       28810       
dlls/mmdevapi/tests/render.ok        PULSE          28814       
dlls/kernel32/tests/fiber.ok         VALGRIND       28815       
dlls/kernel32/tests/loader.ok        VALGRIND       28816       
dlls/kernel32/tests/thread.ok        VALGRIND       28817       
dlls/iphlpapi/tests/iphlpapi.ok      FLAKY          28818       
dlls/oleaut32/tests/vartype.ok       VALGRIND       28820       
dlls/mmdevapi/tests/capture.ok       VALGRIND       28822
dlls/ddraw/tests/d3d.ok              VALGRIND       28832
dlls/setupapi/tests/devinst.ok       VALGRIND       28834
dlls/rpcrt4/tests/rpc_protseq.ok     VALGRIND       28835
dlls/ddraw/tests/d3d.ok              ATI            28984
